D2;ActionState;timeScale;Frame;Time
D2;PREDRIVE;1;1;0
D2;PREDRIVE;1;2;0.02
D2;PREDRIVE;1;3;0.02543768
D2;PREDRIVE;1;4;0.07367183
D2;PREDRIVE;1;5;0.07752991
D2;PREDRIVE;1;6;0.08185966
D2;PREDRIVE;1;7;0.08982904
D2;PREDRIVE;1;8;0.09828352
D2;PREDRIVE;1;9;0.1064426
D2;PREDRIVE;1;10;0.1149319
D2;PREDRIVE;1;11;0.1233279
D2;PREDRIVE;1;12;0.1316618
D2;PREDRIVE;1;13;0.1400087
D2;PREDRIVE;1;14;0.1481529
D2;PREDRIVE;1;15;0.1566042
D2;PREDRIVE;1;16;0.1649167
D2;PREDRIVE;1;17;0.1730842
D2;PREDRIVE;1;18;0.1817394
D2;PREDRIVE;1;19;0.1897654
D2;PREDRIVE;1;20;0.1981072
D2;PREDRIVE;1;21;0.2065835
D2;PREDRIVE;1;22;0.2146642
D2;PREDRIVE;1;23;0.2230426
D2;PREDRIVE;1;24;0.231588
D2;PREDRIVE;1;25;0.2401853
D2;PREDRIVE;1;26;0.2480601
D2;PREDRIVE;1;27;0.2566333
D2;PREDRIVE;1;28;0.2648907
D2;PREDRIVE;1;29;0.2729978
D2;PREDRIVE;1;30;0.281526
D2;PREDRIVE;1;31;0.28982
D2;PREDRIVE;1;32;0.298147
D2;PREDRIVE;1;33;0.3065583
D2;PREDRIVE;1;34;0.3145699
D2;PREDRIVE;1;35;0.3230782
D2;PREDRIVE;1;36;0.3314019
D2;PREDRIVE;1;37;0.3396236
D2;PREDRIVE;1;38;0.3479552
D2;PREDRIVE;1;39;0.3562237
D2;PREDRIVE;1;40;0.3643628
D2;PREDRIVE;1;41;0.3727078
D2;PREDRIVE;1;42;0.3810241
D2;PREDRIVE;1;43;0.3895106
D2;PREDRIVE;1;44;0.3977875
D2;PREDRIVE;1;45;0.4060653
D2;PREDRIVE;1;46;0.4144247
D2;PREDRIVE;1;47;0.4228643
D2;PREDRIVE;1;48;0.4310276
D2;PREDRIVE;1;49;0.4394046
D2;PREDRIVE;1;50;0.4478507
D2;PREDRIVE;1;51;0.456052
D2;PREDRIVE;1;52;0.4646169
D2;PREDRIVE;1;53;0.4728037
D2;PREDRIVE;1;54;0.4811006
D2;PREDRIVE;1;55;0.4894641
D2;PREDRIVE;1;56;0.4980369
D2;PREDRIVE;1;57;0.5060759
D2;PREDRIVE;1;58;0.5142952
D2;PREDRIVE;1;59;0.522624
D2;PREDRIVE;1;60;0.530962
D2;PREDRIVE;1;61;0.5393577
D2;PREDRIVE;1;62;0.547731
D2;PREDRIVE;1;63;0.5560144
D2;PREDRIVE;1;64;0.5645708
D2;PREDRIVE;1;65;0.5728403
D2;PREDRIVE;1;66;0.580921
D2;PREDRIVE;1;67;0.5900266
D2;PREDRIVE;1;68;0.597644
D2;PREDRIVE;1;69;0.6062306
D2;PREDRIVE;1;70;0.6142464
D2;PREDRIVE;1;71;0.6235088
D2;PREDRIVE;1;72;0.630802
D2;PREDRIVE;1;73;0.6392115
D2;PREDRIVE;1;74;0.6475482
D2;PREDRIVE;1;75;0.6558686
D2;PREDRIVE;1;76;0.6641446
D2;PREDRIVE;1;77;0.6724952
D2;PREDRIVE;1;78;0.6808708
D2;PREDRIVE;1;79;0.6891662
D2;PREDRIVE;1;80;0.6975117
D2;PREDRIVE;1;81;0.7059054
D2;PREDRIVE;1;82;0.7141396
D2;PREDRIVE;1;83;0.7224879
D2;PREDRIVE;1;84;0.7307555
D2;PREDRIVE;1;85;0.7390523
D2;PREDRIVE;1;86;0.7476891
D2;PREDRIVE;1;87;0.7557299
D2;PREDRIVE;1;88;0.7640995
D2;PREDRIVE;1;89;0.772458
D2;PREDRIVE;1;90;0.780727
D2;PREDRIVE;1;91;0.7897663
D2;PREDRIVE;1;92;0.7975144
D2;PREDRIVE;1;93;0.8057463
D2;PREDRIVE;1;94;0.8140867
D2;PREDRIVE;1;95;0.8223464
D2;PREDRIVE;1;96;0.8306381
D2;PREDRIVE;1;97;0.8391134
D2;PREDRIVE;1;98;0.8473486
D2;PREDRIVE;1;99;0.8556839
D2;PREDRIVE;1;100;0.8641129
D2;PREDRIVE;1;101;0.8723516
D2;PREDRIVE;1;102;0.8807598
D2;PREDRIVE;1;103;0.8890946
D2;PREDRIVE;1;104;0.8973738
D2;PREDRIVE;1;105;0.9056108
D2;PREDRIVE;1;106;0.9139716
D2;PREDRIVE;1;107;0.9224131
D2;PREDRIVE;1;108;0.9305235
D2;PREDRIVE;1;109;0.9390285
D2;PREDRIVE;1;110;0.9472873
D2;PREDRIVE;1;111;0.9555998
D2;PREDRIVE;1;112;0.963904
D2;PREDRIVE;1;113;0.9722245
D2;PREDRIVE;1;114;0.9805955
D2;PREDRIVE;1;115;0.9888808
D2;PREDRIVE;1;116;0.9972211
D2;PREDRIVE;1;117;1.00552
D2;PREDRIVE;1;118;1.01392
D2;PREDRIVE;1;119;1.022245
D2;PREDRIVE;1;120;1.030632
D2;PREDRIVE;1;121;1.038857
D2;PREDRIVE;1;122;1.047382
D2;PREDRIVE;1;123;1.056393
D2;PREDRIVE;1;124;1.063847
