D1;Distance;Position;Velocity;Frame;Time
D1; ; ; ;1;0
D1; ; ; ;2;0.02
D1; ; ; ;3;0.09748634
D1; ; ; ;4;0.1623995
D1; ; ; ;5;0.1708836
D1; ; ; ;6;0.1788688
D1; ; ; ;7;0.1871016
D1; ; ; ;8;0.1953344
D1; ; ; ;9;0.2041219
D1; ; ; ;10;0.2121636
D1; ; ; ;11;0.2206107
D1; ; ; ;12;0.2282689
D1; ; ; ;13;0.2365022
D1; ; ; ;14;0.2447354
D1; ; ; ;15;0.2532316
D1; ; ; ;16;0.2617872
D1; ; ; ;17;0.2697692
D1; ; ; ;18;0.2777005
D1; ; ; ;19;0.2859023
D1; ; ; ;20;0.2948006
D1; ; ; ;21;0.3023683
D1; ; ; ;22;0.3106902
D1; ; ; ;23;0.3194702
D1; ; ; ;24;0.3270691
D1; ; ; ;25;0.3353014
D1; ; ; ;26;0.3438714
D1; ; ; ;27;0.3519178
D1; ; ; ;28;0.3600017
D1; ; ; ;29;0.3689
D1; ; ; ;30;0.3764692
D1; ; ; ;31;0.3848128
D1; ; ; ;32;0.3929352
D1; ; ; ;33;0.401168
D1; ; ; ;34;0.4098155
D1; ; ; ;35;0.4178108
D1; ; ; ;36;0.4258688
D1; ; ; ;37;0.4346892
D1; ; ; ;38;0.4423353
D1; ; ; ;39;0.4506859
D1; ; ; ;40;0.4588023
D1; ; ; ;41;0.4670361
D1; ; ; ;42;0.4756158
D1; ; ; ;43;0.483568
D1; ; ; ;44;0.4920615
D1; ; ; ;45;0.5000383
D1; ; ; ;46;0.5090437
D1; ; ; ;47;0.5164357
D1; ; ; ;48;0.5249732
D1; ; ; ;49;0.5329723
D1; ; ; ;50;0.5411346
D1; ; ; ;51;0.5499467
D1; ; ; ;52;0.5576016
D1; ; ; ;53;0.565859
D1; ; ; ;54;0.5740672
D1; ; ; ;55;0.5828645
D1; ; ; ;56;0.5913871
D1; ; ; ;57;0.5994121
D1; ; ; ;58;0.6073713
D1; ; ; ;59;0.6153913
D1; ; ; ;60;0.624355
D1; ; ; ;61;0.6317011
D1; ; ; ;62;0.6399343
D1; ; ; ;63;0.6482381
D1; ; ; ;64;0.6564004
D1; ; ; ;65;0.6652324
D1; ; ; ;66;0.6732129
D1; ; ; ;67;0.6811883
D1; ; ; ;68;0.6893349
D1; ; ; ;69;0.6975682
D1; ; ; ;70;0.7061205
D1; ; ; ;71;0.7140996
D1; ; ; ;72;0.7222684
D1; ; ; ;73;0.7310545
D1; ; ; ;74;0.7387354
D1; ; ; ;75;0.7470072
D1; ; ; ;76;0.7552015
D1; ; ; ;77;0.7639598
D1; ; ; ;78;0.772002
D1; ; ; ;79;0.7799296
D1; ; ; ;80;0.7881351
D1; ; ; ;81;0.7963693
D1; ; ; ;82;0.8048604
D1; ; ; ;83;0.8128395
D1; ; ; ;84;0.8210691
D1; ; ; ;85;0.8298102
D1; ; ; ;86;0.8377684
D1; ; ; ;87;0.8457693
D1; ; ; ;88;0.8547367
D1; ; ; ;89;0.862235
D1; ; ; ;90;0.8706816
D1; ; ; ;91;0.878702
D1; ; ; ;92;0.8869348
D1; ; ; ;93;0.8955729
D1; ; ; ;94;0.9034013
D1; ; ; ;95;0.911635
D1; ; ; ;96;0.9205478
D1; ; ; ;97;0.9281021
D1; ; ; ;98;0.9365134
D1; ; ; ;99;0.9445682
D1; ; ; ;100;0.9534985
D1; ; ; ;101;0.9614716
D1; ; ; ;102;0.9693765
D1; ; ; ;103;0.9775017
D1; ; ; ;104;0.9857354
D1; ; ; ;105;0.9939682
D1; ; ; ;106;1.002767
D1; ; ; ;107;1.010435
D1; ; ; ;108;1.018772
D1; ; ; ;109;1.026903
D1; ; ; ;110;1.035722
D1; ; ; ;111;1.043705
D1; ; ; ;112;1.051641
D1; ; ; ;113;1.059835
D1; ; ; ;114;1.06859
D1; ; ; ;115;1.076667
D1; ; ; ;116;1.08455
D1; ; ; ;117;1.092769
D1; ; ; ;118;1.101503
D1; ; ; ;119;1.109235
D1; ; ; ;120;1.117492
D1; ; ; ;121;1.125702
D1; ; ; ;122;1.133934
D1; ; ; ;123;1.142441
D1; ; ; ;124;1.150434
D1; ; ; ;125;1.159396
D1; ; ; ;126;1.167328
D1; ; ; ;127;1.175351
D1; ; ; ;128;1.183335
D1; ; ; ;129;1.192262
D1; ; ; ;130;1.199802
D1; ; ; ;131;1.208257
D1; ; ; ;132;1.216268
D1; ; ; ;133;1.225218
D1; ; ; ;134;1.232735
D1; ; ; ;135;1.241136
D1; ; ; ;136;1.250145
D1; ; ; ;137;1.257435
D1; ; ; ;138;1.266065
D1; ; ; ;139;1.274044
D1; ; ; ;140;1.282136
D1; ; ; ;141;1.290369
D1; ; ; ;142;1.299014
D1; ; ; ;143;1.306977
D1; ; ; ;144;1.315957
D1; ; ; ;145;1.323915
D1; ; ; ;146;1.331929
D1; ; ; ;147;1.33987
D1; ; ; ;148;1.348001
D1; ; ; ;149;1.356235
D1; ; ; ;150;1.364469
D1; ; ; ;151;1.372882
D1; ; ; ;152;1.380934
D1; ; ; ;153;1.389168
D1; ; ; ;154;1.397731
D1; ; ; ;155;1.40572
D1; ; ; ;156;1.413869
D1; ; ; ;157;1.422101
D1; ; ; ;158;1.430652
D1; ; ; ;159;1.43864
D1; ; ; ;160;1.446801
D1; ; ; ;161;1.455603
D1; ; ; ;162;1.463269
D1; ; ; ;163;1.47154
D1; ; ; ;164;1.479736
D1; ; ; ;165;1.487969
D1; ; ; ;166;1.496202
D1; ; ; ;167;1.504819
D1; ; ; ;168;1.512668
D1; ; ; ;169;1.520902
D1; ; ; ;170;1.529136
D1; ; ; ;171;1.537741
D1; ; ; ;172;1.545728
D1; ; ; ;173;1.553835
D1; ; ; ;174;1.562068
D1; ; ; ;175;1.570643
D1; ; ; ;176;1.578535
D1; ; ; ;177;1.586768
D1; ; ; ;178;1.595592
D1; ; ; ;179;1.603235
D1; ; ; ;180;1.6115
D1; ; ; ;181;1.619702
D1; ; ; ;182;1.627936
D1; ; ; ;183;1.636477
D1; ; ; ;184;1.644453
D1; ; ; ;185;1.652636
D1; ; ; ;186;1.660868
D1; ; ; ;187;1.669423
