D2;ActionState;timeScale;Frame;Time
D2;PREDRIVE;1;1;0
D2;PREDRIVE;1;2;0.02
D2;PREDRIVE;1;3;0.09748634
D2;PREDRIVE;1;4;0.1623995
D2;PREDRIVE;1;5;0.1708836
D2;PREDRIVE;1;6;0.1788688
D2;PREDRIVE;1;7;0.1871016
D2;PREDRIVE;1;8;0.1953344
D2;PREDRIVE;1;9;0.2041219
D2;PREDRIVE;1;10;0.2121636
D2;PREDRIVE;1;11;0.2206107
D2;PREDRIVE;1;12;0.2282689
D2;PREDRIVE;1;13;0.2365022
D2;PREDRIVE;1;14;0.2447354
D2;PREDRIVE;1;15;0.2532316
D2;PREDRIVE;1;16;0.2617872
D2;PREDRIVE;1;17;0.2697692
D2;PREDRIVE;1;18;0.2777005
D2;PREDRIVE;1;19;0.2859023
D2;PREDRIVE;1;20;0.2948006
D2;PREDRIVE;1;21;0.3023683
D2;PREDRIVE;1;22;0.3106902
D2;PREDRIVE;1;23;0.3194702
D2;PREDRIVE;1;24;0.3270691
D2;PREDRIVE;1;25;0.3353014
D2;PREDRIVE;1;26;0.3438714
D2;PREDRIVE;1;27;0.3519178
D2;PREDRIVE;1;28;0.3600017
D2;PREDRIVE;1;29;0.3689
D2;PREDRIVE;1;30;0.3764692
D2;PREDRIVE;1;31;0.3848128
D2;PREDRIVE;1;32;0.3929352
D2;PREDRIVE;1;33;0.401168
D2;PREDRIVE;1;34;0.4098155
D2;PREDRIVE;1;35;0.4178108
D2;PREDRIVE;1;36;0.4258688
D2;PREDRIVE;1;37;0.4346892
D2;PREDRIVE;1;38;0.4423353
D2;PREDRIVE;1;39;0.4506859
D2;PREDRIVE;1;40;0.4588023
D2;PREDRIVE;1;41;0.4670361
D2;PREDRIVE;1;42;0.4756158
D2;PREDRIVE;1;43;0.483568
D2;PREDRIVE;1;44;0.4920615
D2;PREDRIVE;1;45;0.5000383
D2;PREDRIVE;1;46;0.5090437
D2;PREDRIVE;1;47;0.5164357
D2;PREDRIVE;1;48;0.5249732
D2;PREDRIVE;1;49;0.5329723
D2;PREDRIVE;1;50;0.5411346
D2;PREDRIVE;1;51;0.5499467
D2;PREDRIVE;1;52;0.5576016
D2;PREDRIVE;1;53;0.565859
D2;PREDRIVE;1;54;0.5740672
D2;PREDRIVE;1;55;0.5828645
D2;PREDRIVE;1;56;0.5913871
D2;PREDRIVE;1;57;0.5994121
D2;PREDRIVE;1;58;0.6073713
D2;PREDRIVE;1;59;0.6153913
D2;PREDRIVE;1;60;0.624355
D2;PREDRIVE;1;61;0.6317011
D2;PREDRIVE;1;62;0.6399343
D2;PREDRIVE;1;63;0.6482381
D2;PREDRIVE;1;64;0.6564004
D2;PREDRIVE;1;65;0.6652324
D2;PREDRIVE;1;66;0.6732129
D2;PREDRIVE;1;67;0.6811883
D2;PREDRIVE;1;68;0.6893349
D2;PREDRIVE;1;69;0.6975682
D2;PREDRIVE;1;70;0.7061205
D2;PREDRIVE;1;71;0.7140996
D2;PREDRIVE;1;72;0.7222684
D2;PREDRIVE;1;73;0.7310545
D2;PREDRIVE;1;74;0.7387354
D2;PREDRIVE;1;75;0.7470072
D2;PREDRIVE;1;76;0.7552015
D2;PREDRIVE;1;77;0.7639598
D2;PREDRIVE;1;78;0.772002
D2;PREDRIVE;1;79;0.7799296
D2;PREDRIVE;1;80;0.7881351
D2;PREDRIVE;1;81;0.7963693
D2;PREDRIVE;1;82;0.8048604
D2;PREDRIVE;1;83;0.8128395
D2;PREDRIVE;1;84;0.8210691
D2;PREDRIVE;1;85;0.8298102
D2;PREDRIVE;1;86;0.8377684
D2;PREDRIVE;1;87;0.8457693
D2;PREDRIVE;1;88;0.8547367
D2;PREDRIVE;1;89;0.862235
D2;PREDRIVE;1;90;0.8706816
D2;PREDRIVE;1;91;0.878702
D2;PREDRIVE;1;92;0.8869348
D2;PREDRIVE;1;93;0.8955729
D2;PREDRIVE;1;94;0.9034013
D2;PREDRIVE;1;95;0.911635
D2;PREDRIVE;1;96;0.9205478
D2;PREDRIVE;1;97;0.9281021
D2;PREDRIVE;1;98;0.9365134
D2;PREDRIVE;1;99;0.9445682
D2;PREDRIVE;1;100;0.9534985
D2;PREDRIVE;1;101;0.9614716
D2;PREDRIVE;1;102;0.9693765
D2;PREDRIVE;1;103;0.9775017
D2;PREDRIVE;1;104;0.9857354
D2;PREDRIVE;1;105;0.9939682
D2;PREDRIVE;1;106;1.002767
D2;PREDRIVE;1;107;1.010435
D2;PREDRIVE;1;108;1.018772
D2;PREDRIVE;1;109;1.026903
D2;PREDRIVE;1;110;1.035722
D2;PREDRIVE;1;111;1.043705
D2;PREDRIVE;1;112;1.051641
D2;PREDRIVE;1;113;1.059835
D2;PREDRIVE;1;114;1.06859
D2;PREDRIVE;1;115;1.076667
D2;PREDRIVE;1;116;1.08455
D2;PREDRIVE;1;117;1.092769
D2;PREDRIVE;1;118;1.101503
D2;PREDRIVE;1;119;1.109235
D2;PREDRIVE;1;120;1.117492
D2;PREDRIVE;1;121;1.125702
D2;PREDRIVE;1;122;1.133934
D2;PREDRIVE;1;123;1.142441
D2;PREDRIVE;1;124;1.150434
