D1;Distance;Position;Velocity;Frame;Time
D1; ; ; ;1;0
D1; ; ; ;2;0.02
D1; ; ; ;3;0.08835011
D1; ; ; ;4;0.1385275
D1; ; ; ;5;0.1471573
D1; ; ; ;6;0.1550854
D1; ; ; ;7;0.1632296
D1; ; ; ;8;0.1714634
D1; ; ; ;9;0.180031
D1; ; ; ;10;0.1880644
D1; ; ; ;11;0.1961632
D1; ; ; ;12;0.2050239
D1; ; ; ;13;0.2126297
D1; ; ; ;14;0.2209474
D1; ; ; ;15;0.2290962
D1; ; ; ;16;0.23733
D1; ; ; ;17;0.2458893
D1; ; ; ;18;0.2537974
D1; ; ; ;19;0.2620293
D1; ; ; ;20;0.2708604
D1; ; ; ;21;0.2787662
D1; ; ; ;22;0.2867704
D1; ; ; ;23;0.2957276
D1; ; ; ;24;0.3031962
D1; ; ; ;25;0.3117183
D1; ; ; ;26;0.3196822
D1; ; ; ;27;0.3278969
D1; ; ; ;28;0.3361302
D1; ; ; ;29;0.344632
D1; ; ; ;30;0.3525967
D1; ; ; ;31;0.36083
D1; ; ; ;32;0.3695094
D1; ; ; ;33;0.3775419
D1; ; ; ;34;0.3855298
D1; ; ; ;35;0.3937631
D1; ; ; ;36;0.4024587
D1; ; ; ;37;0.4102296
D1; ; ; ;38;0.4184629
D1; ; ; ;39;0.4273937
D1; ; ; ;40;0.4349294
D1; ; ; ;41;0.443345
D1; ; ; ;42;0.4513964
D1; ; ; ;43;0.4596306
D1; ; ; ;44;0.4682303
D1; ; ; ;45;0.4762085
D1; ; ; ;46;0.484329
D1; ; ; ;47;0.4925619
D1; ; ; ;48;0.5012079
D1; ; ; ;49;0.5091838
D1; ; ; ;50;0.5172626
D1; ; ; ;51;0.5254959
D1; ; ; ;52;0.5337287
D1; ; ; ;53;0.5420964
D1; ; ; ;54;0.5501962
D1; ; ; ;55;0.558428
D1; ; ; ;56;0.5679186
D1; ; ; ;57;0.5750564
D1; ; ; ;58;0.5831283
D1; ; ; ;59;0.591363
D1; ; ; ;60;0.5995967
D1; ; ; ;61;0.6079612
D1; ; ; ;62;0.6160628
D1; ; ; ;63;0.6249166
D1; ; ; ;64;0.6328637
D1; ; ; ;65;0.6408405
D1; ; ; ;66;0.6497755
D1; ; ; ;67;0.6572282
D1; ; ; ;68;0.6657713
D1; ; ; ;69;0.6737518
D1; ; ; ;70;0.6819294
D1; ; ; ;71;0.6901627
D1; ; ; ;72;0.6987275
D1; ; ; ;73;0.706696
D1; ; ; ;74;0.7148625
D1; ; ; ;75;0.7230963
D1; ; ; ;76;0.7315976
D1; ; ; ;77;0.7396106
D1; ; ; ;78;0.7477961
D1; ; ; ;79;0.7560294
D1; ; ; ;80;0.7645622
D1; ; ; ;81;0.7724963
D1; ; ; ;82;0.7807301
D1; ; ; ;83;0.7889634
D1; ; ; ;84;0.7974781
D1; ; ; ;85;0.8054392
D1; ; ; ;86;0.8136632
D1; ; ; ;87;0.8223764
D1; ; ; ;88;0.8303741
D1; ; ; ;89;0.838363
D1; ; ; ;90;0.8465958
D1; ; ; ;91;0.8552344
D1; ; ; ;92;0.8632075
D1; ; ; ;93;0.871296
D1; ; ; ;94;0.8795294
D1; ; ; ;95;0.8882139
D1; ; ; ;96;0.8961591
D1; ; ; ;97;0.9042296
D1; ; ; ;98;0.9124634
D1; ; ; ;99;0.9210815
D1; ; ; ;100;0.9290292
D1; ; ; ;101;0.9380555
D1; ; ; ;102;0.9453974
D1; ; ; ;103;0.954273
D1; ; ; ;104;0.9618635
D1; ; ; ;105;0.9702377
D1; ; ; ;106;0.97833
D1; ; ; ;107;0.9865633
D1; ; ; ;108;0.9951796
D1; ; ; ;109;1.003149
D1; ; ; ;110;1.011263
D1; ; ; ;111;1.019497
D1; ; ; ;112;1.028117
D1; ; ; ;113;1.036046
D1; ; ; ;114;1.044196
D1; ; ; ;115;1.05243
D1; ; ; ;116;1.060985
D1; ; ; ;117;1.068969
D1; ; ; ;118;1.077131
D1; ; ; ;119;1.085945
D1; ; ; ;120;1.093597
D1; ; ; ;121;1.101874
D1; ; ; ;122;1.110064
D1; ; ; ;123;1.118803
D1; ; ; ;124;1.126529
D1; ; ; ;125;1.134823
D1; ; ; ;126;1.142997
D1; ; ; ;127;1.15123
D1; ; ; ;128;1.15977
D1; ; ; ;129;1.1677
D1; ; ; ;130;1.175929
D1; ; ; ;131;1.184163
D1; ; ; ;132;1.192647
D1; ; ; ;133;1.201616
D1; ; ; ;134;1.208862
D1; ; ; ;135;1.217532
D1; ; ; ;136;1.22533
D1; ; ; ;137;1.233563
D1; ; ; ;138;1.242514
D1; ; ; ;139;1.250029
D1; ; ; ;140;1.258471
D1; ; ; ;141;1.266497
D1; ; ; ;142;1.274729
D1; ; ; ;143;1.282963
D1; ; ; ;144;1.291394
D1; ; ; ;145;1.299428
D1; ; ; ;146;1.307661
D1; ; ; ;147;1.315896
D1; ; ; ;148;1.324284
D1; ; ; ;149;1.332363
D1; ; ; ;150;1.340596
D1; ; ; ;151;1.34883
D1; ; ; ;152;1.357063
D1; ; ; ;153;1.3655
D1; ; ; ;154;1.373529
D1; ; ; ;155;1.381763
D1; ; ; ;156;1.390437
D1; ; ; ;157;1.398412
D1; ; ; ;158;1.406463
D1; ; ; ;159;1.414696
D1; ; ; ;160;1.422929
D1; ; ; ;161;1.431381
D1; ; ; ;162;1.439397
D1; ; ; ;163;1.44763
D1; ; ; ;164;1.456352
D1; ; ; ;165;1.464274
D1; ; ; ;166;1.47233
D1; ; ; ;167;1.480563
D1; ; ; ;168;1.489241
D1; ; ; ;169;1.497029
D1; ; ; ;170;1.505263
D1; ; ; ;171;1.514184
D1; ; ; ;172;1.52173
D1; ; ; ;173;1.53011
D1; ; ; ;174;1.538197
D1; ; ; ;175;1.54643
D1; ; ; ;176;1.555059
D1; ; ; ;177;1.563057
D1; ; ; ;178;1.57113
D1; ; ; ;179;1.579363
D1; ; ; ;180;1.587951
D1; ; ; ;181;1.595949
D1; ; ; ;182;1.604062
D1; ; ; ;183;1.612296
D1; ; ; ;184;1.620878
D1; ; ; ;185;1.628841
D1; ; ; ;186;1.636997
D1; ; ; ;187;1.64523
