D2;ActionState;timeScale;Frame;Time
D2;PREDRIVE;1;155;1.381763
D2;PREDRIVE;1;156;1.390437
D2;PREDRIVE;1;157;1.398412
D2;PREDRIVE;1;158;1.406463
D2;PREDRIVE;1;159;1.414696
D2;PREDRIVE;1;160;1.422929
D2;PREDRIVE;1;161;1.431381
D2;PREDRIVE;1;162;1.439397
D2;PREDRIVE;1;163;1.44763
D2;PREDRIVE;1;164;1.456352
D2;PREDRIVE;1;165;1.464274
D2;PREDRIVE;1;166;1.47233
D2;PREDRIVE;1;167;1.480563
D2;PREDRIVE;1;168;1.489241
D2;PREDRIVE;1;169;1.497029
D2;PREDRIVE;1;170;1.505263
D2;PREDRIVE;1;171;1.514184
D2;PREDRIVE;1;172;1.52173
D2;PREDRIVE;1;173;1.53011
D2;PREDRIVE;1;174;1.538197
D2;PREDRIVE;1;175;1.54643
D2;PREDRIVE;1;176;1.555059
D2;PREDRIVE;1;177;1.563057
D2;PREDRIVE;1;178;1.57113
D2;PREDRIVE;1;179;1.579363
D2;PREDRIVE;1;180;1.587951
D2;PREDRIVE;1;181;1.595949
D2;PREDRIVE;1;182;1.604062
D2;PREDRIVE;1;183;1.612296
D2;PREDRIVE;1;184;1.620878
D2;PREDRIVE;1;185;1.628841
D2;PREDRIVE;1;186;1.636997
D2;PREDRIVE;1;187;1.64523
D2;PREDRIVE;1;188;1.653821
D2;PREDRIVE;1;189;1.661709
D2;PREDRIVE;1;190;1.669929
D2;PREDRIVE;1;191;1.678163
D2;PREDRIVE;1;192;1.686677
D2;PREDRIVE;1;193;1.694662
D2;PREDRIVE;1;194;1.702863
D2;PREDRIVE;1;195;1.711097
D2;PREDRIVE;1;196;1.719592
D2;PREDRIVE;1;197;1.727563
D2;PREDRIVE;1;198;1.735797
D2;PREDRIVE;1;199;1.744029
D2;PREDRIVE;1;200;1.752517
D2;PREDRIVE;1;201;1.76051
D2;PREDRIVE;1;202;1.768729
D2;PREDRIVE;1;203;1.777439
D2;PREDRIVE;1;204;1.785411
D2;PREDRIVE;1;205;1.793429
D2;PREDRIVE;1;206;1.801663
D2;PREDRIVE;1;207;1.810411
D2;PREDRIVE;1;208;1.81813
D2;PREDRIVE;1;209;1.826363
D2;PREDRIVE;1;210;1.834597
D2;PREDRIVE;1;211;1.843346
D2;PREDRIVE;1;212;1.851064
D2;PREDRIVE;1;213;1.859296
D2;PREDRIVE;1;214;1.867529
D2;PREDRIVE;1;215;1.876208
D2;PREDRIVE;1;216;1.884217
D2;PREDRIVE;1;217;1.89223
D2;PREDRIVE;1;218;1.900463
D2;PREDRIVE;1;219;1.909121
D2;PREDRIVE;1;220;1.917075
D2;PREDRIVE;1;221;1.925163
D2;PREDRIVE;1;222;1.93398
D2;PREDRIVE;1;223;1.94163
D2;PREDRIVE;1;224;1.949978
D2;PREDRIVE;1;225;1.958096
D2;PREDRIVE;1;226;1.966925
